COLLISION_ID,LOCATION,X,Y,LONGITUDE,LATITUDE,DATE,TIME,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,TRAFFIC_CONTROL_CONDITION,COLLISION_CLASSIFICATION,IMPACT_TYPE,NO_OF_PEDESTRIANS
17-22,MERIVALE RD btwn DORCHESTER AVE & KIRKWOOD AVE,364855.10045,5026613.83738,-75.73321203170,45.37689243830,2017-01-02,1:39:00 PM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-23,BANK ST @ MASON ST,377900.05006,5015640.44980,-75.56829347240,45.27691970380,2017-01-02,3:45:00 PM,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,00 - Unknown,02 - Non-fatal injury,03 - Rear end,0
17-24,INNES RD @ JEANNE D'ARC BLVD/MER BLEUE RD,382637.01094,5035565.49117,-75.50478786990,45.45568267380,2017-01-02,2:41:00 PM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-25,BAYSHORE DR SB btwn WOODRIDGE CRES & BAYSHORE DR SB RAMPS TO RICHMOND,359259.42007,5023485.47167,-75.80499729420,45.34920071630,2017-01-02,2:51:00 PM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,02 - Angle,0
17-26,SPUR AVE btwn BRIDGESTONE DR & EQUESTRIAN DR,355307.46107,5015892.37364,-75.85620238180,45.28117256460,2017-01-02,3:54:00 PM,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,05 - Turning movement,0
17-27,BLAIR RD @ INNES RD,375578.73490,5031441.27184,-75.59561503330,45.41932598100,2017-01-02,3:00:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
17-28,WELLINGTON ST    W btwn MERTON ST & FAIRMONT AVE,365505.75506,5029623.98844,-75.72453487750,45.40392105430,2017-01-02,4:51:00 PM,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-29,STRANDHERD DR @ CLARIDGE DR,364949.01900,5015382.81154,-75.73337736160,45.27582871650,2017-01-02,4:50:00 PM,01 - Clear,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-30,CARLING AVE @ KIRKWOOD AVE S,364353.41724,5027337.54910,-75.73952969730,45.38344709420,2017-01-02,5:33:00 PM,03 - Snow,05 - Dusk,04 - Slush,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
17-31,NAVAN RD btwn TENTH LINE RD & CANARY ST,386224.58448,5031857.85520,-75.45953847430,45.42191607280,2017-01-02,7:25:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-32,HATFIELD CRES btwn TO BE DETERMINED & TAMMY ST (2),383131.64826,5037666.98263,-75.49812958880,45.47453475560,2017-01-01,7:29:00 PM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-33,BANK ST @ WALKLEY RD,370337.77956,5025947.42685,-75.66330439970,45.37040491960,2017-01-02,4:50:00 PM,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
17-34,PRINCE OF WALES DR btwn TURN LANE & WEST HUNT CLUB RD,367446.40261,5021791.32502,-75.70074036210,45.33327360430,2017-01-02,9:29:00 PM,01 - Clear,07 - Dark,02 - Wet,10 - No control,,03 - P.D. only,05 - Turning movement,0
17-35,LIMEBANK RD btwn RIDEAU RD & MITCH OWENS RD,371290.52812,5012990.11152,-75.65288109270,45.25372855180,2017-01-02,10:12:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
17-36,SOMERSET ST    W btwn BAYSWATER AVE & BREEZEHILL AVE N,365858.72574,5029930.73888,-75.71998840750,45.40665041950,2017-01-03,12:46:00 AM,01 - Clear,07 - Dark,02 - Wet,10 - No control,,02 - Non-fatal injury,05 - Turning movement,0
17-37,CARLING AVE/STATION RD @ MARCH RD,350909.09493,5022247.96091,-75.91167204830,45.33866404810,2017-01-03,7:02:00 AM,04 - Freezing Rain,03 - Dawn,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
17-38,CARLING AVE @ BROADVIEW AVE,363183.26171,5026639.39997,-75.75455332840,45.37726374890,2017-01-03,7:27:00 AM,03 - Snow,03 - Dawn,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
17-39,CASTLEFRANK RD @ HAZELDEAN RD,352676.37716,5017677.14423,-75.88956550410,45.29741650090,2017-01-03,7:34:00 AM,04 - Freezing Rain,03 - Dawn,04 - Slush,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,05 - Turning movement,0
17-40,BOOTH ST btwn BALSAM ST & GLADSTONE AVE,366752.54241,5029885.68070,-75.70857684810,45.40616645670,2017-01-03,8:25:00 AM,01 - Clear,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-41,EDGAR BRAULT ST @ ST. JOSEPH BLVD,381419.63858,5037546.71451,-75.52004187740,45.47364262790,2017-01-03,8:44:00 AM,04 - Freezing Rain,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
17-42,FALLOWFIELD RD btwn EAGLESON RD & RICHMOND RD,357578.57572,5013448.63926,-75.82751511670,45.25901656840,2017-01-03,9:15:00 AM,04 - Freezing Rain,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,01 - Approaching,0
17-43,PAUL ANKA DR @ UPLANDS DR,369458.81630,5023576.60880,-75.67483475780,45.34915460310,2017-01-03,9:19:00 AM,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
17-44,CYRVILLE RD btwn BEAUPARC PRIV & LABRIE AVE,373266.14494,5031728.91845,-75.62512097130,45.42214421520,2017-01-03,9:20:00 AM,04 - Freezing Rain,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,03 - Rear end,0
17-45,JEANNE D'ARC BLVD @ VORLAGE DR W/VOYAGEUR WAY,379267.58810,5037741.43113,-75.54753300750,45.47562734220,2017-01-03,11:11:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
17-46,REGIONAL ROAD 174 btwn OR174 IC105 RAMP63 & OR174 IC102 RAMP36,380778.23668,5037807.70984,-75.52820379270,45.47606092820,2017-01-03,11:37:00 AM,02 - Rain,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,07 - SMV other,0
17-47,MILTON RD btwn SMITH RD & PERRAULT RD,388201.47055,5029548.34345,-75.43467248100,45.40090447720,2017-01-03,12:02:00 PM,04 - Freezing Rain,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,07 - SMV other,0
17-48,BLACKBURN BYPASS @ INNES RD E,379792.87558,5033779.38892,-75.54141958370,45.43992368230,2017-01-03,1:00:00 PM,04 - Freezing Rain,01 - Daylight,04 - Slush,01 - Traffic signal,00 - Unknown,03 - P.D. only,03 - Rear end,0
17-49,BARNSDALE RD N @ MOODIE DR,361934.44546,5008863.48206,-75.77254523840,45.21741850450,2017-01-03,1:36:00 PM,04 - Freezing Rain,01 - Daylight,06 - Ice,02 - Stop sign,00 - Unknown,03 - P.D. only,07 - SMV other,0
17-50,MARCH RD @ SECOND LINE RD,346104.82417,5025326.29053,-75.97271210830,45.36666303500,2017-01-03,3:32:00 PM,04 - Freezing Rain,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,02 - Angle,0
17-51,DUNSTON TER @ HUNT CLUB RD,372221.40790,5024431.69290,-75.63946633140,45.35658822130,2017-01-03,4:57:00 PM,04 - Freezing Rain,05 - Dusk,03 - Loose snow,02 - Stop sign,00 - Unknown,03 - P.D. only,05 - Turning movement,0
17-52,INDUSTRIAL AVE btwn TRAINYARDS DR & RUSSELL RD,372170.75810,5030407.77158,-75.63929713540,45.41036347600,2017-01-03,5:28:00 PM,03 - Snow,05 - Dusk,04 - Slush,10 - No control,,03 - P.D. only,02 - Angle,0
17-53,HINCKS LANE @ RIVERSIDE DR,370166.80802,5030206.03431,-75.66492280310,45.40873835930,2017-01-03,5:32:00 PM,04 - Freezing Rain,05 - Dusk,06 - Ice,01 - Traffic signal,00 - Unknown,03 - P.D. only,03 - Rear end,0
17-54,RIDEAU ST btwn SUSSEX DR & 88 W OF WILLIAM ST/FREIMAN MALL,367948.52146,5032061.40826,-75.69302132110,45.42563606890,2017-01-03,5:33:00 PM,03 - Snow,05 - Dusk,04 - Slush,10 - No control,,03 - P.D. only,01 - Approaching,0
17-55,MARRISSA AVE btwn STEEL ST & INDIGO ST (2),374814.28561,5034006.55742,-75.60501694040,45.44248391490,2017-01-01,12:00:00 AM,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-56,ALTHA AVE @ MONTREAL RD,370621.58248,5033374.62367,-75.65869020330,45.43720539290,2017-01-03,5:56:00 PM,04 - Freezing Rain,07 - Dark,04 - Slush,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
17-57,MCCARTHY RD @ TWYFORD ST,369902.42209,5023801.01424,-75.66914458620,45.35113270350,2017-01-03,6:19:00 PM,02 - Rain,07 - Dark,02 - Wet,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
17-58,RIDEAU VALLEY DR btwn BARNSDALE RD & BANKFIELD RD,368019.06124,5010532.60923,-75.69486920750,45.23191758750,2017-01-03,7:01:00 PM,04 - Freezing Rain,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,01 - Approaching,0
17-59,HUNT CLUB RD @ RIVERSIDE DR,368035.84463,5021948.07361,-75.69320082100,45.33463112790,2017-01-03,6:01:00 PM,02 - Rain,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-60,INNES RD/PRESTWICK DR @ LANTHIER DR,383541.34493,5035988.33992,-75.49315926940,45.45938577010,2017-01-03,7:38:00 PM,04 - Freezing Rain,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-61,TERRY FOX DR btwn KANATA AVE & Continuation of TERRY FOX DR,349654.97316,5019034.27504,-75.92796428360,45.30982775680,2017-01-03,7:40:00 PM,03 - Snow,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,07 - SMV other,0
17-62,STRANDHERD DR @ WOODROFFE AVE,366106.15400,5015394.29063,-75.71862917280,45.27583206560,2017-01-03,8:43:00 PM,04 - Freezing Rain,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,07 - SMV other,0
17-63,EQUESTRIAN DR btwn STABLE WAY & POMMEL CRES,354638.62584,5016591.31905,-75.86465701650,45.28750956700,2017-01-03,9:33:00 PM,03 - Snow,07 - Dark,04 - Slush,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-64,KLONDIKE RD @ MARCH RD,349262.97100,5024060.76273,-75.93251170400,45.35508231960,2017-01-03,9:32:00 PM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-65,MCCARTHY RD @ WALKLEY RD,369250.57567,5025300.52240,-75.67726725220,45.36468508390,2017-01-03,10:40:00 PM,04 - Freezing Rain,07 - Dark,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-66,HUNT CLUB RD btwn TURN LANE & TURN LANE (1),371682.32597,5024246.69806,-75.64637116470,45.35497532950,2017-01-03,11:53:00 PM,04 - Freezing Rain,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-67,FOURTH LINE RD btwn EDWARD KIDD CRES & PRINCE OF WALES DR,365912.43691,4999967.47711,-75.72299013050,45.13703740160,2017-01-04,2:59:00 AM,04 - Freezing Rain,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,07 - SMV other,0
17-68,RICHMOND RD btwn WEST HUNT CLUB RD & SEYTON DR,357302.07303,5018913.00061,-75.83045982940,45.30820646850,2017-01-04,5:28:00 AM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
17-69,HOPE SIDE RD btwn CROWNRIDGE DR & RICHMOND RD,356322.83900,5015124.42200,-75.84334033750,45.27418870170,2017-01-04,7:12:00 AM,02 - Rain,03 - Dawn,04 - Slush,10 - No control,,03 - P.D. only,05 - Turning movement,0
17-70,BUCKINGHAM PRIV @ UPLANDS DR,368348.26504,5022808.23053,-75.68910471280,45.34234241300,2017-01-04,7:31:00 AM,03 - Snow,03 - Dawn,04 - Slush,02 - Stop sign,00 - Unknown,03 - P.D. only,05 - Turning movement,0
17-71,RIVERSIDE DR @ WALKLEY RD,368417.86553,5024853.52930,-75.68795353390,45.36073922250,2017-01-04,7:38:00 AM,04 - Freezing Rain,03 - Dawn,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-72,NELSON ST btwn WILBROD ST & LAURIER AVE E,368851.77966,5032161.40051,-75.68146670470,45.42645363400,2017-01-04,8:05:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-73,EAGLESON RD btwn OTTAWA ST & BROPHY DR,358634.75715,5005877.09920,-75.81487749740,45.19080611830,2017-01-04,8:24:00 AM,03 - Snow,01 - Daylight,06 - Ice,10 - No control,,02 - Non-fatal injury,01 - Approaching,0
17-74,OTTAWA RIVER PKWY @ WOODROFFE AVE,361427.53997,5027003.39517,-75.77692709100,45.38068304370,2017-01-04,8:29:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-75,RIVERSIDE DR RAMP 42A @ RIVERSIDE DR,368441.31909,5027267.56916,-75.68734316400,45.38245797780,2017-01-04,9:33:00 AM,03 - Snow,01 - Daylight,04 - Slush,03 - Yield sign,00 - Unknown,03 - P.D. only,07 - SMV other,0
17-76,HUNT CLUB RD btwn CONROY RD & MALAK ST,373888.52143,5025475.78096,-75.61804466330,45.36582021010,2017-01-03,12:00:00 AM,04 - Freezing Rain,00 - Unknown,04 - Slush,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-77,CRAIG HENRY DR @ IVYLEA ST/WOODVALE GR,363036.93791,5021804.49243,-75.75699101440,45.33377188600,2017-01-04,10:42:00 AM,03 - Snow,01 - Daylight,05 - Packed snow,02 - Stop sign,01 - Functioning,03 - P.D. only,05 - Turning movement,0
17-78,ANTARES DR btwn CAPELLA CRT & AURIGA DR (1),366769.17016,5021541.13348,-75.70941116710,45.33108255350,2017-01-04,10:45:00 AM,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,02 - Angle,0
17-79,BANK ST @ WALKLEY RD,370339.56874,5025948.59327,-75.66328140660,45.37041524720,2017-01-04,10:48:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,00 - Unknown,03 - P.D. only,03 - Rear end,0
17-80,BELCOURT BLVD @ INNES RD,382123.29564,5035264.89336,-75.51140242790,45.45303518060,2017-01-03,6:35:00 PM,02 - Rain,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-81,HURON AVE   N btwn SCOTT ST & SPENCER ST,364675.85820,5029531.82041,-75.73514634910,45.40316322450,2017-01-04,10:00:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-82,ROBERTSON RD btwn FITZGERALD RD & MOODIE DR,357029.12865,5020432.96403,-75.83378011070,45.32190362990,2017-01-04,12:34:00 PM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,02 - Angle,0
17-83,WEST HUNT CLUB RD @ ANTARES DR/LASER ST,367110.28641,5022083.21844,-75.70499145690,45.33592993740,2017-01-04,11:45:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-84,CARLING AVE @ KIRKWOOD AVE S,364352.55887,5027334.97399,-75.73954096710,45.38342399690,2017-01-04,1:20:00 PM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
17-85,TARTAN DR btwn RUETER ST & HALLEY ST,362955.33874,5014370.77972,-75.75890394830,45.26689013530,2017-01-04,12:00:00 AM,04 - Freezing Rain,00 - Unknown,06 - Ice,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-86,OTTAWA RIVER PKWY @ ISLAND PARK DR,363298.77239,5029454.33475,-75.75274489960,45.40258245580,2017-01-04,7:30:00 AM,04 - Freezing Rain,03 - Dawn,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-87,DAVID DR btwn ROWLEY AVE & JOAN ST,364550.54391,5023753.75191,-75.73744611850,45.35118385140,2017-01-04,12:33:00 PM,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,,03 - P.D. only,02 - Angle,0
17-88,STITTSVILLE MAIN ST @ HAZELDEAN RD,349559.53638,5014878.59081,-75.92955631800,45.27243967570,2017-01-04,2:48:00 PM,03 - Snow,01 - Daylight,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-89,ALBION RD @ MITCH OWENS RD,375907.75744,5014804.44910,-75.59380300070,45.26960195960,2017-01-04,3:03:00 PM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
17-90,KIRKWOOD AVE @ RICHMOND RD,363780.40644,5028640.69663,-75.74669039970,45.39522107570,2017-01-04,3:00:00 PM,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
17-91,CENTREPOINTE DR @ HEMMINGWOOD WAY E,362327.01290,5023203.78884,-75.76588505760,45.34642124220,2017-01-04,3:10:00 PM,03 - Snow,01 - Daylight,04 - Slush,02 - Stop sign,01 - Functioning,02 - Non-fatal injury,02 - Angle,0
17-92,KITCHENER AVE @ BANK ST,370540.01773,5025497.39659,-75.66078266600,45.36633675110,2017-01-04,3:21:00 PM,05 - Drifting Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
17-93,BROOKFIELD RD btwn RIVERSIDE DR/HOG'S BACK RD & 200 W OF FLANNERY DR,368343.14704,5026239.13440,-75.68872897310,45.37321331640,2017-01-04,3:21:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,02 - Non-fatal injury,03 - Rear end,0
17-94,WELLINGTON ST @ PINHEY ST,365454.72448,5029546.67742,-75.72519620000,45.40322985180,2017-01-04,3:23:00 PM,01 - Clear,01 - Daylight,04 - Slush,02 - Stop sign,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,0
17-95,MARITIME WAY btwn CANADIAN SHIELD AVE & GREAT LAKES AVE,351862.58800,5019595.75000,-75.89975874510,45.31473557300,2017-01-04,3:24:00 PM,03 - Snow,01 - Daylight,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
17-96,BASELINE RD btwn MARSON ST & FISHER AVE,365998.45326,5025922.09493,-75.71870068430,45.37056934870,2017-01-04,3:21:00 PM,03 - Snow,01 - Daylight,05 - Packed snow,10 - No control,,03 - P.D. only,03 - Rear end,0
17-97,HUNT CLUB RD @ CANADAIR PRIV,368663.32383,5022305.17022,-75.68514980740,45.33778737750,2017-01-04,3:24:00 PM,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
17-98,BANFF AVE @ KITCHENER AVE,370724.68799,5025605.13575,-75.65841110010,45.36728880870,2017-01-04,3:41:00 PM,03 - Snow,01 - Daylight,06 - Ice,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
17-99,RIVERGATE WAY @ RIVERSIDE DR,368115.96123,5023241.38810,-75.69201323970,45.34626087750,2017-01-04,3:46:00 PM,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
17-100,ST. JOSEPH BLVD @ TENTH LINE RD,382891.66217,5038666.45280,-75.50103966370,45.48355396620,2017-01-04,3:15:00 PM,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,00 - Unknown,03 - P.D. only,04 - Sideswipe,0
17-101,MARCH RD btwn 280 S OF CARLING AVE/STATION RD & RICHARDSON SIDE RD,351294.20243,5021841.64411,-75.90679671770,45.33498250880,2017-01-04,4:10:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,02 - Non-fatal injury,02 - Angle,0
17-102,KILBORN AVE @ KILBORN PL/LAMIRA ST,369744.71810,5027679.47258,-75.67064717820,45.38604452820,2017-01-04,4:38:00 PM,03 - Snow,05 - Dusk,06 - Ice,11 - Roundabout,01 - Functioning,03 - P.D. only,01 - Approaching,0
17-103,DONNELLY DR btwn FAIRMILE RD & FOURTH LINE RD,371938.11283,4992841.45788,-75.64734033920,45.07237014260,2017-01-04,4:36:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,04 - Sideswipe,0
17-104,SANFORD FLEMING AVE @ TERMINAL AVE,370857.01309,5030832.09859,-75.65602231860,45.41430663180,2017-01-04,4:50:00 PM,01 - Clear,05 - Dusk,06 - Ice,02 - Stop sign,03 - Obscured,02 - Non-fatal injury,07 - SMV other,1
