name,latitude,longitude,elevation
GALIANO ISL BURRILL PT,48.87,-123.32,1.5
GALIANO NORTH,48.99,-123.57,6
GOLDSTREAM LAKE,48.45,-123.55,458.7
GOLDSTREAM MEADOWS,48.62,-123.53,64
HONEYMOON BAY NORTHWEST,48.83,-124.19,170
JAMES ISLAND,48.6,-123.35,53.6
KELP REEFS,48.55,-123.24,0
KUPER ISLAND,48.97,-123.63,
LAKE COWICHAN,48.82,-124.05,180
LANGFORD LAKE,48.43,-123.53,75
MALAHAT,48.58,-123.58,275
MALAHAT,48.57,-123.53,365.8
MAYNE ISLAND,48.85,-123.33,9.1
MAYNE ISLAND,48.84,-123.32,28
METCHOSIN,48.37,-123.56,164
METCHOSIN HAPPY VALLEY,48.42,-123.53,76
METCHOSIN MOUNTAIN,48.4,-123.53,91.4
METCHOSIN PARRY BAY,48.38,-123.5,3
MILL BAY KILMALU,48.65,-123.55,45.7
MILL BAY 1 SOUTHWEST,48.64,-123.56,100
MILLSTREAM,48.48,-123.55,213.4
MILNES LANDING,48.35,-123.73,38.1
MUIR CREEK 1W,48.38,-123.88,30
NORTH COWICHAN,48.82,-123.72,45.7
NORTH COWICHAN,48.82,-123.72,44.8
NORTH PENDER ISLAND,48.76,-123.29,98
PENDER ISLAND,48.77,-123.3,26.2
PIERS ISLAND,48.7,-123.42,17.1
POINT-NO-POINT,48.41,-123.99,25
PORT RENFREW,48.59,-124.33,10
RACE ROCKS,48.3,-123.53,7.4
RACE ROCKS LIGHTSTATION,48.3,-123.53,4.9
RIVER JORDAN,48.42,-124.05,3
SAANICHTON CDA,48.62,-123.42,61
SAANICH CAMOSUN COLLEGE,48.5,-123.42,38.1
SAANICH DENSMORE,48.5,-123.4,59
SALTAIR,48.97,-123.77,15.2
SALTSPRING ISLAND,48.85,-123.5,73.2
SALTSPRING IS CUSHEON LK,48.82,-123.48,107.9
SALTSPRING ST MARY'S L,48.89,-123.55,45.7
SAANICH DOM ASTRO OBS,48.52,-123.42,222.5
SAANICH OLDFIELD,48.55,-123.42,69.8
SAANICHTON MT NEWTON,48.6,-123.43,42.7
SALTSPRING VESUVIUS,48.88,-123.57,7.6
SATURNA CAPMON,48.78,-123.13,178
SATURNA CAPMON CS,48.78,-123.13,178
SATURNA ISLAND CS,48.78,-123.04,24.4
SHAWNIGAN LAKE,48.65,-123.63,159
SHAWNIGAN LAKE NORTH,48.65,-123.63,149.4
SHERINGHAM POINT,48.38,-123.92,6.9
SIDNEY DEEP COVE,48.68,-123.4,18.3
SOOKE,48.37,-123.73,27.4
SOOKE GLINZ LAKE,48.42,-123.63,256
SOOKE LAKE,48.52,-123.7,172.8
SOOKE LAKE NORTH,48.58,-123.64,231
SOOKE OTTER POINT,48.37,-123.82,39.6
SOOKE SASEENOS,48.38,-123.67,27.4
SOUTH PENDER ISLAND 2,48.75,-123.22,91.1
TRIAL ISLAND,48.4,-123.3,23
VICTORIA AMROTH PLACE,48.45,-123.28,18.3
VICTORIA ARDMORE,48.63,-123.47,24.4
VICTORIA BAY STREET,48.43,-123.37,13.7
VICTORIA UNIVERSITY CS,48.46,-123.3,60.1
VICTORIA CAREY ROAD,48.47,-123.47,19.8
VICTORIA FRANCIS PARK,48.48,-123.44,55
VICTORIA GONZALES HTS,48.41,-123.33,69.5
VICTORIA GONZALES CS,48.41,-123.32,61.04
VICTORIA GORDON HEAD,48.47,-123.3,42.7
VICTORIA HARBOUR A,48.42,-123.39,0
VICTORIA HIGHLAND,48.51,-123.51,190.6
VICTORIA HOLLAND 2,48.48,-123.41,15.2
VICTORIA HIGHLANDS NORTH,48.54,-123.5,230
VICTORIA HARBOUR A,48.42,-123.39,0
VICTORIA INT'L A,48.65,-123.43,19.51
VICTORIA INTL A,48.65,-123.43,19.5
VICTORIA JUBILEE,48.43,-123.33,23.5
VICTORIA HARBOUR A,48.42,-123.39,0
VICTORIA LANSDOWNE,48.43,-123.32,29
VICTORIA MARINE,48.37,-123.75,31.7
VICTORIA MUSGRAVE STREET,48.43,-123.3,15.2
VICTORIA NORTH DAIRY RD,48.45,-123.33,40.8
VICTORIA NORTHRIDGE,48.49,-123.4,37
VICTORIA ROWLEY ROAD,48.47,-123.3,13.4
VICTORIA SINCLAIR ROAD,48.47,-123.3,53.3
VICTORIA TILLICUM,48.45,-123.39,22.9
VICTORIA TUDOR AVENUE,48.45,-123.27,21.6
WILLIAM HEAD,48.34,-123.54,12.2
VICTORIA U VIC,48.47,-123.33,68.4
VICTORIA HARTLAND CS,48.53,-123.46,154.1
YOUBOU,48.88,-124.22,173.7
YOUBOU SCHOOL,48.88,-124.22,189
CHEMAINUS BARE POINT,48.92,-123.7,3
GALIANO SOUTH,48.87,-123.32,15.2
GALIANO SOUTH 2,48.88,-123.35,61
SAANICHTON MT NEWTON 2,48.6,-123.45,68
SAANICH OLDFIELD NORTH,48.55,-123.42,69.5
SATURNA ISLAND CAMPBELL SCIENTIFIC,48.78,-123.05,24.4
VICTORIA WEST,48.43,-123.38,15.2
VICTORIA WILLOWS PARK,48.43,-123.3,9.1
VICTORIA PHYLLIS STREET,48.46,-123.27,7.6
VICTORIA PORTAGE INLET,48.45,-123.43,6.1
CORDOVA BAY CLAREMOUNT,48.52,-123.37,80
VICTORIA PRINCESS AVE,48.43,-123.35,27
VICTORIA PROSPECT LAKE,48.52,-123.43,61
VICTORIA SHELBOURNE,48.47,-123.33,49
VICTORIA SHORT STREET,48.45,-123.37,21.3
ALERT BAY,50.58,-126.93,59.4
BALLENAS ISLAND,49.35,-124.16,14.51
BLACK CREEK,49.85,-125.13,46
BLACK CREEK SE,49.8,-125.09,87.8
BLIND CHANNEL,50.42,-125.5,3
BOWSER,49.45,-124.67,3
NANAIMO HARBOUR,49.17,-123.93,5
CAMERON LAKE,49.28,-124.58,193
CAMPBELL LAKE,50.02,-125.4,15.2
CAMPBELL RIVER,50.02,-125.3,79.2
CAMPBELL RIVER A,49.95,-125.27,108.8
CAMPBELL RIVER BCFS,50.07,-125.32,128
CAMPBELL RIVER BCHPA GEN,50.05,-125.32,30.5
CAMPBELL R LAKEVIEW FC,50.2,-125.55,198.1
CAMPBELL RIVER STP,50.02,-125.23,3
CAMPBELL RIVER SURFSIDE,49.95,-125.21,9
CAMPBELL RIVER A,49.95,-125.27,108.8
CAMPBELL RIVER A,49.95,-125.27,108.8
CAPE LAZO,49.7,-124.87,38.1
CAPE MUDGE,50,-125.2,4.6
CAPE MUDGE CS,50,-125.2,4
CHATHAM POINT,50.33,-125.45,22.9
CHROME ISLAND,49.47,-124.68,10
CHROME ISLAND,49.47,-124.68,11.3
COAL HARBOUR RUPERT IN,50.6,-127.5,57.3
COMOX A,49.72,-124.9,25.6
COMOX PCC,49.69,-125.03,11.9
COOMBS,49.31,-124.43,98.1
CORTES ISLAND,50.08,-125.03,6.1
CORTES ISL SUTIL POINT,50.02,-124.98,15.2
CORTES ISLAND TIBER BAY,50.07,-124.95,15
COURTENAY GRANTHAM,49.76,-125,81
COURTENAY PUNTLEDGE,49.69,-125.03,40
COURTENAY PUNTLEDGE BCHP,49.68,-125.03,24.4
COURTENAY SANDWICK,49.7,-124.97,76
CUMBERLAND,49.62,-125.03,159.4
DENMAN ISLAND,49.52,-124.78,13.5
DENMAN ISLAND EAST SHORE,49.52,-124.74,13
DENMAN ISLAND 2,49.55,-124.8,92
DUNCAN BAY,50.07,-125.28,11
DUNCAN GLENORA,48.76,-123.77,84
ENTRANCE ISLAND,49.2,-123.8,3.3
ENTRANCE ISLAND,49.21,-123.81,7.6
FANNY ISLAND,50.45,-125.99,5.2
FRENCH CREEK,49.35,-124.37,38.1
GABRIOLA ISLAND,49.15,-123.73,46
HERIOT BAY SE,50.1,-125.2,17
HILLIERS,49.3,-124.5,150
HORNBY ISLAND,49.53,-124.6,6.1
KELSEY BAY,50.38,-125.95,4.9
LADYSMITH,48.95,-123.65,24.4
LASQUETI ISLAND,49.5,-124.33,4.6
LAZO,49.73,-124.9,3.7
LITTLE QUALICUM,49.35,-124.78,186.5
LITTLE QUALICUM HATCHERY,49.35,-124.51,30
LITTLE QUALICUM R ESTY,49.37,-124.48,1.5
LITTLE QUALICUM RIVER GANSKE ROAD,49.37,-124.5,42
MT WASHINGTON,49.75,-125.29,1473.5
MT WASHINGTON RESORT,49.75,-125.29,1197
MT WASHINGTON UPPER,49.75,-125.29,1450
MUD BAY,49.47,-124.79,4
MYRA CREEK,49.58,-125.61,353.9
NANAIMO,49.18,-123.97,70.1
NANAIMO A,49.05,-123.87,28
NANAIMO A,49.05,-123.87,28
NANAIMO A,49.05,-123.87,28.04
NANAIMO WATER RESERVOIR,49.15,-123.97,114.3
NANOOSE BAY,49.28,-124.18,82
NANOOSE BAY AUTO,49.27,-124.15,5
NANOOSE BAY SOUTH,49.25,-124.18,111
NANAIMO CITY YARD,49.2,-123.99,114
NANAIMO CHUB,49.17,-123.93,21.3
OYSTER RIVER UBC,49.88,-125.13,10.7
PARKSVILLE,49.3,-124.3,82.3
PARKSVILLE NORTHWEST,49.33,-124.33,30.5
PARKSVILLE SOUTH,49.33,-124.3,0.9
NANAIMO DEPARTURE BAY,49.22,-123.95,7.6
PINE ISLAND,50.98,-127.73,28
PORT HARDY,50.67,-127.48,3
PORT HARDY A,50.68,-127.37,21.6
PORT HARDY A,50.68,-127.37,21.6
PORT HARDY BEAVER HR,50.72,-127.43,4.6
PORT MCNEILL,50.58,-127.08,91.4
QUADRA ISLAND,50.18,-125.18,31.1
QUALICUM BEACH AIRPORT,49.34,-124.39,58.2
QUALICUM BEACH,49.33,-124.43,9.1
QUALICUM BEACH YAMBURY,49.35,-124.38,3
QUALICUM R FISH RESEARCH,49.39,-124.62,7.6
QUINSAM RIVER HATCHERY,50.02,-125.3,45.7
SANDWICK,49.75,-125.05,45.7
SAVARY ISLAND,49.93,-124.85,38
SAYWARD,50.37,-126,
SAYWARD 2,50.32,-125.93,16
SAYWARD BIG TREE CREEK,50.23,-125.77,57
SISTERS ISLAND,49.49,-124.43,20
STRATHCONA DAM,50,-125.58,201.2
STRATHCONA PARK LODGE,49.88,-125.65,228.6
SURGE NARROWS READ IS,50.22,-125.1,76.2
SURGE NARROWS RENDEZVOUS,50.28,-125.07,9.1
VANANDA,49.75,-124.58,12.2
UPPER CAMPBELL LAKE,49.9,-125.63,548.6
ENTRANCE ISLAND,49.21,-123.81,7
NANAIMO NORTH,49.22,-123.98,98
NANAIMO RIVER CAMP,49.08,-124.08,204.2
COURTENAY MEADOWBROOK,49.72,-124.98,35
STUART CHANNEL BOAT HARBOUR,49.09,-123.8,14
ALBERNI BEAVER CREEK,49.37,-124.93,91.4
ALBERNI CITY RESERVOIR,49.27,-124.78,64.6
ALBERNI LUPSI CUPSI,49.25,-124.82,9.1
ALBERNI MCCOY LAKE,49.28,-124.88,42.7
ALBERNI ROBERTSON CREEK,49.34,-124.98,73.75
AMPHITRITE POINT,48.92,-125.53,10.7
AMPHITRITE POINT,48.92,-125.54,26.5
ASH RIVER,49.47,-125.08,304.8
ASH RIVER GENERATING STN,49.37,-125.15,91.4
BAMFIELD,48.83,-125.1,21.3
BAMFIELD EAST,48.83,-125.12,4
BAMFIELD WEST,48.83,-125.15,3
BENSON LAKE,50.37,-127.23,144.8
BULL HARBOUR,50.92,-127.95,13.7
CAPE BEALE LIGHT,48.79,-125.22,25.9
CAPE SCOTT,50.8,-128.45,6.1
CAPE SCOTT,50.78,-128.43,71.6
CARMANAH,48.63,-124.78,39.6
CARMANAH POINT,48.61,-124.75,38.1
CARNATION CREEK CDF,48.9,-125,61
CLAYOQUOT,49.15,-125.9,22.9
CONUMA RIVER HATCHERY,49.8,-126.42,12
ELK LAKE JEUNE LANDING,50.37,-127.3,109.7
ESTEVAN POINT,49.38,-126.54,5.8
ESTEVAN POINT CS,49.38,-126.54,5.8
GOLD RIVER,49.67,-126.17,3
GOLD RIVER TOWNSITE,49.78,-126.06,119
GREAT CENTRAL LAKE,49.35,-125.15,502.9
HENDERSON LAKE,49.13,-125.13,3.7
HENDERSON LAKE HATCHERY,49.13,-125.14,2
HERBERT INLET,49.4,-125.9,4.6
HOLBERG,50.65,-128,2.4
HOLBERG,50.65,-128,579
HOLBERG CCR,50.63,-128.12,568
HOLBERG FIRE DEPT,50.65,-127.98,45.7
HOLBERG PUMP HOUSE,50.65,-128,41.8
KENNEDY LAKE,49.13,-125.63,10.7
KILDONAN,49,-125,3
KILDONAN FATTY BASIN,48.98,-125.02,4.6
KYUQUOT,50.03,-127.37,3
LENNARD ISLAND,49.11,-125.92,10.6
LOWRY LAKE,49.43,-125.13,304.8
LAWN POINT (AUT),50.33,-127.97,3.6
NITINAT LAKE,48.75,-124.75,7.6
NITINAT RIVER HATCHERY,48.86,-124.66,14.9
NOOTKA LIGHTSTATION,49.6,-126.62,15.8
PACHENA POINT,48.72,-125.1,37
PORT ALBERNI,49.23,-124.8,59.4
PORT ALBERNI A,49.25,-124.83,2.4
PORT ALBERNI CHINA CREEK,49.23,-124.78,70.1
PORT ALBERNI COX LAKE,49.2,-124.75,100
PORT ALBERNI REDFORD,49.25,-124.8,21.3
PORT ALBERNI SHUHUM CREEK,49.3,-124.93,70
PORT ALICE,50.39,-127.46,21
PORT ALICE TOWNSITE,50.43,-127.48,102
QUATSINO,50.53,-127.65,3.42
QUATSINO LIGHTSTATION,50.44,-128.03,21
RUMBLE BEACH,50.43,-127.48,106.7
PORT ALBERNI (AUT),49.32,-124.93,76.2
SARTINE ISLAND (AUT),50.82,-128.91,103.45
SOLANDER ISLAND (AUT),50.11,-127.94,94.2
SPRING ISLAND,50,-127.42,11.3
TAHSIS,49.92,-126.65,4.6
TAHSIS VILLAGE NORTH,49.93,-126.65,9
TOFINO A,49.08,-125.77,24.4
TOFINO A,49.08,-125.77,24.45
TOFINO CATFACE MOUNTAIN,49.27,-125.97,740.7
TOFINO VILLAGE,49.15,-125.91,4.6
TOFINO A,49.08,-125.77,24.4
TRIANGLE ISLAND,50.87,-129.08,207.3
UCLUELET,48.97,-125.53,5.5
UCLUELET BRYNNOR MINES,49.05,-125.43,91.4
UCLUELET KENNEDY CAMP,48.95,-125.53,40
WINTER HARBOUR,50.52,-128.03,4.6
ZEBALLOS,49.98,-126.85,7
ZEBALLOS MURAUDE CREEK,50.05,-126.78,103
ZEBALLOS IRON MINES,50.03,-126.82,91.4
NITINAT LAKE (AUT),48.67,-124.83,36.4
ALTA LAKE,50.15,-122.95,667.5
ALTA LAKE NORTHAIR MINE,50.12,-123.1,1005.8
ALTA LAKE 2,50.15,-122.98,640.1
ANVIL ISLAND,49.52,-123.3,30.5
BOWEN ISLAND,49.35,-123.42,22.9
BOWEN ISL ARBUTUS BAY,49.33,-123.38,21
BOWEN ISLAND BOWEN BAY,49.36,-123.42,36.6
BOWEN ISLAND CATES BAY,49.41,-123.32,27
BOWEN ISLAND JOSEPHINE RIDGE,49.37,-123.38,160
BOWEN ISLAND SUNSET PARK,49.36,-123.4,185
BOWEN ISLAND MILLERS LDG,49.39,-123.33,91.1
BOWEN ISLAND KILLARNEY LAKE,49.4,-123.37,50
BRITANNIA BEACH FURRY CR,49.58,-123.22,9
BUCCANEER BAY,49.48,-123.97,1.5
CAPILANO INTAKE,49.4,-123.15,146.3
CHEEKYE,49.8,-123.15,48.8
CLOWHOM FALLS,49.72,-123.53,22.9
DAISY LAKE DAM,49.98,-123.13,381
DESERTED BAY,50.1,-123.73,6.1
GAMBIER HARBOUR,49.44,-123.43,53.3
GARIBALDI,49.98,-123.13,381
GIBSONS,49.4,-123.51,62
GIBSONS GOWER POINT,49.39,-123.54,34
GRIEF POINT,49.8,-124.53,10
HALFMOON BAY,49.52,-123.92,10.7
HALFMOON BAY MIDDLE PT,49.58,-124,91.4
HALFMOON BAY,49.52,-123.9,61
HOLLYBURN,49.32,-123.17,45.7
HOPKINS LANDING,49.47,-123.48,7.6
JERVIS INLET VANC BAY,49.92,-123.87,2.1
LOIS LAKE,49.87,-124.15,167.6
LOIS RIVER DAM,49.8,-124.32,157
LUND,49.98,-124.77,13.7
MALIBU JERVIS INLET,50.17,-123.85,18
MERRY ISLAND LIGHTSTATION,49.47,-123.91,7.2
MERRY ISLAND,49.47,-123.92,20
NELSON ISLAND,49.7,-124.08,15.2
PARADISE VALLEY,49.82,-123.15,30.5
HOWE SOUND - PAM ROCKS,49.49,-123.3,7.14
PENDER HARBOUR,49.63,-124.03,64
PORT MELLON,49.52,-123.48,7.6
PORT MELLON,49.53,-123.5,125.1
POWELL LAKE,50.1,-124.47,76.2
POWELL RIVER,49.88,-124.55,51.8
POWELL RIVER A,49.83,-124.5,129.51
POWELL RIVER,49.83,-124.5,125
POWELL RIVER A,49.83,-124.5,129.5
POWELL RIVER A,49.83,-124.5,129.5
POWELL RIVER GRIEF POINT,49.8,-124.52,31
POWELL RIVER WESTVIEW,49.83,-124.52,54.9
ROBERTS CREEK,49.4,-123.68,3.7
ROBERTS CREEK EAST,49.43,-123.62,143.3
SECHELT,49.47,-123.77,22.9
SECHELT AUT,49.46,-123.72,86.2
SECHELT SANDY HOOK,49.53,-123.77,125
SECHELT 5WEST,49.47,-123.81,61
SQUAMISH,49.7,-123.13,31.1
SQUAMISH FMC CHEMICALS,49.68,-123.17,3
SQUAMISH ST DAVIDS,49.75,-123,21.3
SQUAMISH STP,49.73,-123.15,6.1
SQUAMISH STP CENTRAL,49.7,-123.16,3.9
SQUAMISH UPPER,49.9,-123.28,46
SQUAMISH 10 MILE,49.82,-123.2,30
SQUAMISH AIRPORT,49.78,-123.16,53.7
STILLWATER POWER HOUSE,49.77,-124.32,7
SQUAMISH GARIBALDI,49.73,-123.15,10
SQUAMISH AIRPORT,49.78,-123.16,52.1
TEXADA ISLAND A,49.7,-124.52,96.9
TUNNEL CAMP,49.62,-123.13,670.6
WEST REDONDA ISLAND,50.25,-124.82,4.9
WHISTLER,50.13,-122.95,657.8
WHISTLER A,50.13,-122.95,657.8
WOODFIBRE,49.58,-123.89,3.5
WOODFIBRE HENRIETTA LK,49.68,-123.32,869
SQUAMISH ASHLU CREEK,49.95,-123.42,495
HARDY ISLAND,49.73,-124.18,26
SQUAMISH PARADISE VALLEY,49.83,-123.15,61
CAPE ST JAMES,51.93,-131.02,92
CAPE ST JAMES,51.94,-131.02,87.8
CINOLA MINE SITE,53.5,-132.13,75.9
DEAD TREE POINT,53.37,-131.93,14.3
EDEN LAKE,53.87,-132.73,42.7
HOSKINS ISLET,52.53,-131.55,8
IKEDA BAY,52.28,-131.12,1.5
KINDAKUN ROCKS (AUT),53.32,-132.77,14.7
LANGARA,54.26,-133.06,42.69
LANGARA ISLAND RCS,54.26,-133.06,46.9
MASSET AIRPORT,54.02,-132.12,5.8
MASSET A,54.03,-132.13,5.8
MASSET A,54,-132.17,12.8
MASSET INDIAN DAY SCHOOL,54.03,-132.18,12.2
MASSET A,54.03,-132.13,5.8
MASSET CFS,54.03,-132.07,12.2
MASSET TOW HILL,54.03,-131.97,2.1
MORESBY ISLAND MITCHELL INLET,52.93,-132.13,3
PALLANT CREEK,53.05,-132.05,20
PORT CLEMENTS,53.68,-132.18,16
QUEEN CHARLOTTE CITY,53.25,-132.08,12
RENNELL SOUND,53.3,-132.42,3
ROSE SPIT (AUT),54.16,-131.66,6.6
SANDSPIT A,53.25,-131.81,6.4
SANDSPIT AIRPORT AUTO,53.25,-131.81,6.5
SANDSPIT,53.25,-131.81,6.4
SANDSPIT AWOS,53.25,-131.81,6.4
SCUDDER POINT,52.45,-131.23,5
SEWELL INLET,52.88,-131.98,15
TASU SOUND,52.77,-132.05,15.2
TLELL,53.5,-131.95,4.6
SEWALL MASSET INLET,53.76,-132.3,3
ADDENBROKE ISLAND,51.6,-127.86,21.3
ALICE ARM,55.68,-129.5,314.2
ALICE ARM,55.47,-129.47,1.5
ANYOX,55.42,-129.82,112.8
BELLA BELLA,52.17,-128.15,12.2
BELLA BELLA A,52.19,-128.16,43
BELLA BELLA,52.19,-128.16,43
BELLA BELLA SHEARWATER,52.15,-128.08,12.2
BELLA COOLA,52.37,-126.69,18.3
BELLA COOLA A,52.39,-126.6,35.7
BELLA COOLA BC HYDRO,52.37,-126.82,13.7
BELLA COOLA AIRPORT,52.39,-126.59,36.89
BELLA COOLA A,52.39,-126.6,35.7
BELLA COOLA A,52.39,-126.6,35.7
BOAT BLUFF,52.64,-128.52,10.7
BONILLA ISLAND,53.49,-130.64,16.2
BONILLA ISLAND (AUT),53.49,-130.64,12.52
BUTEDALE,53.15,-128.7,15.2
CATHEDRAL POINT (AUT),52.19,-127.47,26.4
CUMSHEWA ISLAND,53.03,-131.6,12.57
DAWSONS LANDING,51.58,-127.58,34
DRYAD POINT,52.19,-128.11,3.5
EAST CRACROFT ISL,50.6,-126.32,14
EGG ISLAND,51.25,-127.84,14
ETHELDA BAY,53.05,-129.68,9.6
FALLS RIVER,53.98,-129.73,18
FIRVALE,52.45,-126.3,121.9
GENESEE RIVER,51.67,-126.75,13.7
GREEN ISLAND,54.57,-130.71,11.9
GREY ISLET (AUT),54.58,-130.7,9.5
HARTLEY BAY,53.42,-129.25,2
HERBERT ISLAND (AUT),50.94,-127.63,13.5
HOLLAND ROCK,54.17,-130.36,5.5
IVORY ISLAND,52.27,-128.41,9.8
KEMANO,53.56,-127.94,66
KILDALA,53.83,-128.48,30.5
KINGCOME INLET,50.95,-126.2,1.5
KITIMAT,54.05,-128.68,12.8
KITIMAT,54,-128.7,16.8
KITIMAT MISSION,53.98,-128.65,6.1
KITIMAT TOWNSITE,54.05,-128.63,98
KITIMAT 2,54.01,-128.71,16.8
KITIMAT 3,54.06,-128.64,137
KITSAULT MINESITE,55.43,-129.47,620.9
KNIGHT INLET,51.1,-125.58,9.1
LAKELSE LAKE,54.4,-128.52,76
LAWYER ISLAND,54.12,-130.35,6.1
LUCY ISLAND LIGHTSTATION,54.3,-130.61,2
MCINNES ISLAND,52.26,-128.72,25.9
MILL BAY,55,-129.75,3
MINSTREL ISLAND,50.62,-126.32,3
NAAS HARBOUR,54.93,-129.93,6.1
NAMU,51.87,-127.87,2
OCEAN FALLS,52.35,-127.68,4.9
PACIFIC,54.77,-128.27,121.9
POINTER ISLAND,52.07,-127.95,6.7
PORT SIMPSON,54.57,-130.43,7.9
PREMIER,56.05,-130.02,410
PRINCE RUPERT,54.28,-130.38,51.8
PRINCE RUPERT A,54.29,-130.44,35.4
PRINCE RUPERT,54.29,-130.44,35.4
PRINCE RUPERT AWOS,54.29,-130.44,35.4
PRINCE RUPERT FERN PASS,54.32,-130.27,44.2
PRINCE RUPERT MONT CIRC,54.32,-130.29,60
PRINCE RUPERT R PARK,54.3,-130.33,90.8
PRINCE RUPERT SHAWATLANS,54.33,-130.25,11
RIVERS INLET,51.67,-127.35,6.1
RIVERS INLET GOOD HOPE,51.6,-127.5,3
ROSSWOOD,54.78,-128.77,146.3
ROY,50.5,-125.53,10.4
PHILLIPS ARM,50.55,-125.37,1.5
PORT EDWARD,54.2,-130.23,2
SALVUS CAMP,54.3,-129.37,15.2
SHAWL BAY,50.85,-126.57,0
STEWART,55.95,-129.98,4.6
STEWART A,55.93,-129.98,7.3
STEWART A,55.94,-129.99,7.3
STEWART BCHPA,55.95,-129.98,12.2
STEWART A,55.93,-129.98,7.3
STUIE TWEEDSMUIR LODGE,52.37,-126.07,162
SURF INLET,52.47,-129.03,
SWANSON BAY,53.03,-128.5,4.6
SWANSON BAY,50.62,-126.88,
TERRACE,54.52,-128.58,
TERRACE A,54.47,-128.58,217.3
TERRACE PCC,54.5,-128.62,67
TERRACE SKEENA BRIDGE CS,54.52,-128.57,210
TERRACE A,54.47,-128.58,217.3
THOMPSON SOUND,50.8,-126,12.2
THURSTON BAY,50.42,-125.42,1.5
TOBA INLET,50.52,-124.27,27.4
TRIPLE ISLAND,54.29,-130.88,20.7
WANNOCK RIVER,51.68,-127.25,3
FORWARD HARBOUR,50.48,-125.7,7.6
HELMCKEN ISLAND,50.4,-125.87,18.9
KITIMAT HATCHERY,54.04,-128.68,11
TERRACE GOSSAN CREEK,54.58,-128.43,107
NANAKWA SHOALS,53.83,-128.83,0
WADHAMS CDF,51.5,-127.5,6.1
AIYANSH,55.23,-129.02,228.6
AIYANSH 2SE,55.18,-129.05,213.4
BABINE LAKE FISHERIES,55.07,-126.53,713.2
BABINE LAKE HALIFAX BAY,55.05,-126.48,711.7
BABINE LAKE PINKUT CREEK,54.45,-125.46,713.2
BIG OLIVER CREEK,54.83,-128.3,121.9
BRUCEJACK LAKE,56.47,-130.17,1372
COLLINS LAKE,54.12,-127.17,836.7
CRANBERRY RIVER,55.5,-128.23,609.6
EQUITY SILVER,54.2,-126.28,1280
FORT BABINE,55.32,-126.62,716.3
FULTON LAKE,54.8,-126.3,734.6
GRANISLE COPPER LTD,54.95,-126.17,705.6
HAZELTON TEMLEHAN,55.2,-127.73,121.9
HAZELTON 2,55.27,-127.63,295
HAZELTON TRIPLE CREEK RANCH,55.27,-127.52,365.8
HOUSTON,54.38,-126.72,586.7
HOUSTON,54.4,-126.67,610
HOUSTON GOOSLY LAKE,54.15,-126.37,952.5
HAZELTON,55.27,-127.62,320
KISPIOX,55.47,-127.77,304.8
KITSAULT MILLSITE,55.42,-128.42,533.4
KITSAULT MINESITE,55.5,-129,652.3
KITSAULT TOWNSITE,55.45,-128.48,38.1
KITWANGA,55.12,-128.05,192.9
MACLURE LAKE,54.73,-127.07,573
MORICE RIVER FDR,54.2,-126.9,701
MORICE RIVER HOUSTON,54.32,-126.8,693.4
MORICETOWN,55.05,-127.3,390.1
MURDER CREEK 2,55.49,-127.83,368
